job_role,experience_level,experience_ord,demand_index,skill_trend,salary,predicted_auto_risk,human_dependency_score,quick_survival
AI Engineer,Entry,1,141.63333333333333,6.66,190878.66666666666,0.8293,17.07,41.36
AI Engineer,Lead,4,136.3,7.15,366233.0,0.7058,29.42,60.0
AI Engineer,Mid,2,152.6,7.525,246167.75,0.6579,34.21,54.44
AI Engineer,Principal,5,138.0,7.22,450093.0,0.3716,62.84,75.38
AI Engineer,Senior,3,142.43333333333334,7.026666666666666,312382.3333333333,0.5949,40.51,59.06
Accountant,Lead,4,133.0,6.3075,214783.75,0.9603,3.97,50.6
Accountant,Mid,2,142.7,5.79,148055.5,0.9958,0.42,40.22
Accountant,Principal,5,139.95,6.85,237224.0,0.9839,1.61,56.75
Accountant,Senior,3,115.0,8.33,166807.0,0.9069,9.31,47.54
BI Developer,Entry,1,154.18,5.928,114976.4,0.9323,6.77,39.05
BI Developer,Lead,4,144.675,5.5975,231592.75,0.9492,5.08,51.62
BI Developer,Senior,3,131.3,5.45,187643.0,0.7542,24.58,50.24
Business Analyst,Entry,1,136.03333333333333,6.72,136316.0,0.9627,3.73,36.6
Business Analyst,Lead,4,134.475,7.345,234159.75,0.9099,9.01,53.89
Business Analyst,Mid,2,153.1,6.078333333333333,142154.66666666666,0.8646,13.54,46.14
Business Analyst,Principal,5,133.0,5.98,282177.0,0.6473,35.27,64.5
Business Analyst,Senior,3,161.15,5.04,170037.0,0.6914,30.86,55.99
Cloud Architect,Entry,1,139.45000000000002,6.489999999999999,162311.0,0.6953,30.47,44.79
Cloud Architect,Lead,4,144.27142857142857,6.895714285714285,349074.85714285716,0.5843,41.57,64.46
Cloud Architect,Mid,2,137.35,6.415,215612.5,0.6162,38.38,51.74
Cloud Architect,Principal,5,151.3,5.42,365073.0,0.8289,17.11,60.96
Cloud Architect,Senior,3,120.7,7.325,297447.5,0.8438,15.62,48.78
Content Strategist,Entry,1,161.1,1.93,55153.0,0.9639,3.61,33.14
Content Strategist,Lead,4,117.4,4.2,139068.0,0.9457,5.43,45.54
Content Strategist,Mid,2,148.4,7.68,196421.0,0.7873,21.27,50.16
Content Strategist,Principal,5,140.83333333333334,5.349999999999999,200710.33333333334,0.9144,8.56,56.72
Content Strategist,Senior,3,153.5,7.253333333333334,171572.0,0.716,28.4,57.42
Data Analyst,Entry,1,144.05,6.92,114259.0,0.7894,21.06,43.31
Data Analyst,Lead,4,127.45,4.3100000000000005,165209.5,0.9643,3.57,46.65
Data Analyst,Mid,2,135.4333333333333,5.2700000000000005,144577.0,0.8127,18.73,43.84
Data Analyst,Principal,5,142.76666666666665,7.096666666666667,248957.0,0.8452,15.48,61.7
Data Analyst,Senior,3,158.2,7.15,210311.0,0.842,15.8,54.2
Data Engineer,Entry,1,153.5,7.12,167138.0,0.6961,30.39,47.82
Data Engineer,Lead,4,141.0,4.225,287686.0,0.8481,15.19,52.04
Data Engineer,Mid,2,115.4,8.3,192297.0,0.6462,35.38,50.37
Data Engineer,Principal,5,161.20000000000002,6.926666666666667,358935.6666666667,0.5604,43.96,72.76
Data Engineer,Senior,3,133.35000000000002,7.07,313381.5,0.623,37.7,56.92
Data Scientist,Entry,1,139.79999999999998,5.766666666666667,142362.33333333334,0.8963,10.37,37.73
Data Scientist,Lead,4,161.93333333333334,3.9000000000000004,242889.0,0.8424,15.76,54.87
Data Scientist,Principal,5,159.2,6.88,320738.0,0.5122,48.78,73.83
Data Scientist,Senior,3,135.8,6.24,261452.0,0.7965,20.35,50.84
DevOps Engineer,Entry,1,136.1,6.0,119218.0,0.8613,13.87,38.58
DevOps Engineer,Lead,4,160.3,6.775999999999999,314810.4,0.8031,19.69,60.12
DevOps Engineer,Mid,2,149.7,5.9,161411.0,0.5726,42.74,54.13
DevOps Engineer,Principal,5,129.76666666666665,7.09,388527.6666666667,0.8331,16.69,60.11
DevOps Engineer,Senior,3,146.8,6.23,228494.0,0.739,26.1,54.2
Digital Marketer,Entry,1,144.36666666666667,5.046666666666667,94876.0,0.9701,2.99,35.12
Digital Marketer,Lead,4,142.39999999999998,7.51,222866.5,0.8595,14.05,56.84
Digital Marketer,Mid,2,130.82,5.752,130532.8,0.9161,8.39,40.77
Digital Marketer,Principal,5,135.9,6.45,222733.0,0.7546,24.54,62.42
Digital Marketer,Senior,3,147.6,5.23,146104.0,0.9489,5.11,46.52
Excel Analyst,Entry,1,109.0,5.3075,85263.75,0.9893,1.07,29.63
Excel Analyst,Lead,4,116.15,5.8100000000000005,176432.5,0.9876,1.24,46.51
Excel Analyst,Mid,2,107.83333333333333,4.966666666666667,96764.66666666667,0.9926,0.74,33.85
Excel Analyst,Principal,5,117.97500000000001,5.8375,216440.0,0.9518,4.82,52.9
Excel Analyst,Senior,3,104.96666666666665,5.616666666666667,148455.33333333334,0.9801,1.99,39.77
Financial Analyst,Entry,1,133.32,6.358,115709.8,0.9356,6.44,36.47
Financial Analyst,Mid,2,129.15,6.2325,158027.0,0.7237,27.63,47.01
Financial Analyst,Principal,5,134.45,5.825,246104.0,0.9292,7.08,56.03
Financial Analyst,Senior,3,109.0,4.37,155198.0,0.9073,9.27,40.69
HR Analyst,Entry,1,133.0,6.184,90613.0,0.9025,9.75,37.15
HR Analyst,Lead,4,141.33333333333334,5.586666666666666,188234.66666666666,0.9822,1.78,50.11
HR Analyst,Mid,2,135.15,4.85,117000.0,0.9263,7.37,39.76
HR Analyst,Principal,5,137.4,2.7,147991.0,0.7637,23.63,56.75
HR Analyst,Senior,3,121.95,5.915,151971.5,0.9578,4.22,43.43
IT Support Specialist,Entry,1,81.4,4.13,66729.0,0.9912,0.88,23.67
IT Support Specialist,Lead,4,81.2,6.68,174128.0,0.9727,2.73,43.02
IT Support Specialist,Mid,2,136.2,6.1,152527.0,0.9003,9.97,42.57
IT Support Specialist,Principal,5,107.75,6.255000000000001,234973.0,0.8492,15.08,55.07
IT Support Specialist,Senior,3,98.6,6.95,150817.0,0.9676,3.24,41.19
Machine Learning Engineer,Lead,4,165.13333333333333,5.756666666666667,346701.0,0.7308,26.92,61.48
Machine Learning Engineer,Mid,2,160.10000000000002,4.744999999999999,205093.5,0.9037,9.63,44.02
Machine Learning Engineer,Principal,5,129.2,3.24,338963.0,0.9213,7.87,51.6
Machine Learning Engineer,Senior,3,145.275,6.945,305418.0,0.8653,13.47,51.25
Operations Analyst,Entry,1,143.65,6.545,126896.25,0.7405,25.95,44.15
Operations Analyst,Lead,4,136.0,5.869999999999999,243317.0,0.8456,15.44,53.84
Operations Analyst,Mid,2,126.17500000000001,7.23,181795.25,0.8823,11.77,43.3
Operations Analyst,Principal,5,150.3,6.9325,244585.75,0.8921,10.79,61.18
Operations Analyst,Senior,3,126.0,6.3,164967.0,0.8541,14.59,47.73
Product Manager,Entry,1,139.55,4.452500000000001,122170.5,0.8987,10.13,35.65
Product Manager,Lead,4,122.14999999999999,6.4399999999999995,301533.5,0.6187,38.13,59.42
Product Manager,Mid,2,134.2,6.859999999999999,228494.5,0.4804,51.96,56.01
Product Manager,Principal,5,138.85,5.375,348173.5,0.9482,5.18,55.44
Product Manager,Senior,3,122.2,6.75,305112.0,0.9224,7.76,45.78
QA Engineer,Entry,1,106.43333333333334,5.3133333333333335,108014.33333333333,0.961,3.9,30.1
QA Engineer,Lead,4,96.10000000000001,4.88,206881.66666666666,0.9716,2.84,42.59
QA Engineer,Mid,2,91.65,5.15,156600.5,0.9652,3.48,32.52
QA Engineer,Principal,5,102.1,5.36,254889.0,0.8134,18.66,53.95
QA Engineer,Senior,3,128.05,6.15,213845.5,0.9488,5.12,44.97
SEO Specialist,Entry,1,149.1,4.16,69205.0,1.0,0.0,33.6
SEO Specialist,Lead,4,165.15,6.165,202800.0,0.9932,0.68,54.22
SEO Specialist,Mid,2,135.83333333333334,5.261666666666667,122751.83333333333,1.0,0.0,38.27
SEO Specialist,Principal,5,147.68333333333334,6.183333333333334,237068.83333333334,1.0,0.0,56.43
SEO Specialist,Senior,3,130.6,5.85,129795.0,1.0,0.0,43.36
SQL Developer,Mid,2,132.55,4.785,130210.5,0.9886,1.14,37.4
SQL Developer,Principal,5,120.9,5.62,266693.0,0.9659,3.41,52.59
SQL Developer,Senior,3,97.45,5.075,185745.0,0.9519,4.81,38.67
Software Developer,Entry,1,161.9,6.68,140819.0,0.9605,3.95,40.49
Software Developer,Mid,2,142.0,6.48,195616.0,0.5546,44.54,54.38
Software Developer,Principal,5,173.3,7.12,346895.0,0.8941,10.59,64.85
Software Developer,Senior,3,143.70000000000002,4.616666666666667,192900.66666666666,0.8267,17.33,48.68
Statistician,Entry,1,140.65,7.529999999999999,144682.5,0.6568,34.32,47.69
Statistician,Lead,4,162.1,6.35,216395.0,0.7249,27.51,62.09
Statistician,Mid,2,151.65,6.0,156681.5,0.9758,2.42,42.47
Statistician,Senior,3,144.925,5.955,203892.5,0.4569,54.31,61.96
Supply Chain Analyst,Entry,1,147.475,6.8175,104516.25,0.9176,8.24,39.82
Supply Chain Analyst,Lead,4,119.5,4.42,225812.0,0.8919,10.81,47.8
Supply Chain Analyst,Mid,2,130.45,5.4,113730.0,0.7398,26.02,45.47
Supply Chain Analyst,Principal,5,114.0,5.9,269979.0,0.7532,24.68,58.35
Supply Chain Analyst,Senior,3,146.03333333333333,6.19,173058.0,0.8177,18.23,51.66
