id,year,job_role,salary_usd,automation_risk,demand_index,skill
1,2024,Machine Learning Engineer,153092.0,0.98,150.3,Spark/PySpark
1,2024,Machine Learning Engineer,153092.0,0.98,150.3,MS Access
1,2024,Machine Learning Engineer,153092.0,0.98,150.3,Cloud (AWS/GCP)
1,2024,Machine Learning Engineer,153092.0,0.98,150.3,Legacy VBA
2,2023,Data Scientist,338275.0,0.05,127.0,Deep Learning
2,2023,Data Scientist,338275.0,0.05,127.0,dbt
2,2023,Data Scientist,338275.0,0.05,127.0,Airflow
3,2019,SEO Specialist,101396.0,0.98,97.7,Tableau
3,2019,SEO Specialist,101396.0,0.98,97.7,Excel (Basic)
3,2019,SEO Specialist,101396.0,0.98,97.7,Kubernetes
3,2019,SEO Specialist,101396.0,0.98,97.7,COBOL
4,2025,BI Developer,262957.0,0.736,115.2,dbt
4,2025,BI Developer,262957.0,0.736,115.2,Cold Calling
4,2025,BI Developer,262957.0,0.736,115.2,MLOps
4,2025,BI Developer,262957.0,0.736,115.2,Cloud (AWS/GCP)
5,2019,DevOps Engineer,173459.0,0.573,91.4,MS Access
5,2019,DevOps Engineer,173459.0,0.573,91.4,Tableau
5,2019,DevOps Engineer,173459.0,0.573,91.4,R
6,2022,Data Scientist,346456.0,0.555,127.4,Excel (Basic)
6,2022,Data Scientist,346456.0,0.555,127.4,dbt
6,2022,Data Scientist,346456.0,0.555,127.4,Crystal Reports
6,2022,Data Scientist,346456.0,0.555,127.4,Deep Learning
6,2022,Data Scientist,346456.0,0.555,127.4,Machine Learning
7,2025,AI Engineer,189953.0,0.98,140.6,Kubernetes
7,2025,AI Engineer,189953.0,0.98,140.6,Tableau
7,2025,AI Engineer,189953.0,0.98,140.6,Data Entry
7,2025,AI Engineer,189953.0,0.98,140.6,Vector Databases
7,2025,AI Engineer,189953.0,0.98,140.6,LLMs/GenAI
7,2025,AI Engineer,189953.0,0.98,140.6,Cold Calling
8,2024,Statistician,130917.0,0.05,152.4,LLMs/GenAI
8,2024,Statistician,130917.0,0.05,152.4,Tableau
8,2024,Statistician,130917.0,0.05,152.4,SQL
8,2024,Statistician,130917.0,0.05,152.4,Kubernetes
9,2024,Operations Analyst,225090.0,0.758,144.5,Airflow
9,2024,Operations Analyst,225090.0,0.758,144.5,Basic SEO
9,2024,Operations Analyst,225090.0,0.758,144.5,Machine Learning
10,2022,Statistician,109512.0,0.767,108.8,dbt
10,2022,Statistician,109512.0,0.767,108.8,Data Entry
10,2022,Statistician,109512.0,0.767,108.8,Statistics
10,2022,Statistician,109512.0,0.767,108.8,SQL
10,2022,Statistician,109512.0,0.767,108.8,Tableau
11,2020,Excel Analyst,249756.0,0.601,101.9,Excel (Basic)
11,2020,Excel Analyst,249756.0,0.601,101.9,SQL
11,2020,Excel Analyst,249756.0,0.601,101.9,Vector Databases
11,2020,Excel Analyst,249756.0,0.601,101.9,Airflow
11,2020,Excel Analyst,249756.0,0.601,101.9,Spark/PySpark
11,2020,Excel Analyst,249756.0,0.601,101.9,A/B Testing
12,2025,Business Analyst,102092.0,0.98,137.6,Manual Testing
12,2025,Business Analyst,102092.0,0.98,137.6,Deep Learning
12,2025,Business Analyst,102092.0,0.98,137.6,SQL
12,2025,Business Analyst,102092.0,0.98,137.6,COBOL
12,2025,Business Analyst,102092.0,0.98,137.6,Copy-Paste Reporting
12,2025,Business Analyst,102092.0,0.98,137.6,Tableau
13,2023,Data Analyst,135931.0,0.05,101.5,Cloud (AWS/GCP)
13,2023,Data Analyst,135931.0,0.05,101.5,Prompt Engineering
13,2023,Data Analyst,135931.0,0.05,101.5,Power BI
13,2023,Data Analyst,135931.0,0.05,101.5,LLMs/GenAI
13,2023,Data Analyst,135931.0,0.05,101.5,Tableau
14,2024,Product Manager,199884.0,0.98,152.9,Copy-Paste Reporting
14,2024,Product Manager,199884.0,0.98,152.9,Data Entry
14,2024,Product Manager,199884.0,0.98,152.9,Prompt Engineering
15,2023,Accountant,116021.0,0.98,124.6,R
15,2023,Accountant,116021.0,0.98,124.6,Cold Calling
15,2023,Accountant,116021.0,0.98,124.6,A/B Testing
15,2023,Accountant,116021.0,0.98,124.6,Python
16,2022,Data Analyst,110082.0,0.231,113.9,Machine Learning
16,2022,Data Analyst,110082.0,0.231,113.9,Airflow
16,2022,Data Analyst,110082.0,0.231,113.9,Excel (Basic)
16,2022,Data Analyst,110082.0,0.231,113.9,Deep Learning
17,2022,Data Scientist,367433.0,0.142,136.6,R
17,2022,Data Scientist,367433.0,0.142,136.6,LLMs/GenAI
17,2022,Data Scientist,367433.0,0.142,136.6,Kubernetes
17,2022,Data Scientist,367433.0,0.142,136.6,A/B Testing
17,2022,Data Scientist,367433.0,0.142,136.6,Manual Testing
17,2022,Data Scientist,367433.0,0.142,136.6,Power BI
18,2023,Product Manager,219724.0,0.05,124.6,Tableau
18,2023,Product Manager,219724.0,0.05,124.6,A/B Testing
18,2023,Product Manager,219724.0,0.05,124.6,Cloud (AWS/GCP)
18,2023,Product Manager,219724.0,0.05,124.6,Airflow
18,2023,Product Manager,219724.0,0.05,124.6,Deep Learning
19,2023,SEO Specialist,102504.0,0.98,106.2,Deep Learning
19,2023,SEO Specialist,102504.0,0.98,106.2,Crystal Reports
19,2023,SEO Specialist,102504.0,0.98,106.2,Data Entry
20,2019,Business Analyst,155103.0,0.68,104.9,Kubernetes
20,2019,Business Analyst,155103.0,0.68,104.9,Legacy VBA
20,2019,Business Analyst,155103.0,0.68,104.9,Statistics
20,2019,Business Analyst,155103.0,0.68,104.9,dbt
21,2024,Financial Analyst,259841.0,0.98,126.0,COBOL
21,2024,Financial Analyst,259841.0,0.98,126.0,Power BI
21,2024,Financial Analyst,259841.0,0.98,126.0,dbt
21,2024,Financial Analyst,259841.0,0.98,126.0,Cloud (AWS/GCP)
21,2024,Financial Analyst,259841.0,0.98,126.0,Cold Calling
21,2024,Financial Analyst,259841.0,0.98,126.0,Legacy VBA
22,2022,QA Engineer,185637.0,0.899,121.8,SQL
22,2022,QA Engineer,185637.0,0.899,121.8,MS Access
22,2022,QA Engineer,185637.0,0.899,121.8,MLOps
23,2019,Excel Analyst,159139.0,0.15,101.8,Spark/PySpark
23,2019,Excel Analyst,159139.0,0.15,101.8,Power BI
23,2019,Excel Analyst,159139.0,0.15,101.8,LLMs/GenAI
23,2019,Excel Analyst,159139.0,0.15,101.8,Kubernetes
23,2019,Excel Analyst,159139.0,0.15,101.8,Tableau
23,2019,Excel Analyst,159139.0,0.15,101.8,Airflow
24,2019,IT Support Specialist,146174.0,0.98,107.7,Deep Learning
24,2019,IT Support Specialist,146174.0,0.98,107.7,Cold Calling
24,2019,IT Support Specialist,146174.0,0.98,107.7,Copy-Paste Reporting
