year,experience_ord,role_encoded,num_skills,skill_count,avg_skill_trend_score,demand_index,salary_vs_median,salary_cagr_5yr,future_proof,salary_usd,automation_risk,job_role,experience_level,risk_label
2024,1,15,4,4,5.48,150.3,1.398,0.0728,0,153092.0,0.98,Machine Learning Engineer,Entry,Critical Risk
2023,5,8,3,3,8.63,127.0,1.323,0.0881,1,338275.0,0.05,Data Scientist,Principal,Low Risk
2019,2,19,4,4,5.1,97.7,0.682,0.0467,0,101396.0,0.98,SEO Specialist,Mid,Critical Risk
2025,4,2,4,4,7.12,115.2,1.143,0.0454,0,262957.0,0.736,BI Developer,Lead,High Risk
2019,3,9,3,3,5.43,91.4,0.892,0.061,0,173459.0,0.573,DevOps Engineer,Senior,High Risk
2022,5,8,5,5,6.48,127.4,1.355,0.0881,0,346456.0,0.555,Data Scientist,Principal,High Risk
2025,1,0,6,6,6.35,140.6,1.735,0.0761,0,189953.0,0.98,AI Engineer,Entry,Critical Risk
2024,1,22,4,4,8.25,152.4,1.195,0.0662,1,130917.0,0.05,Statistician,Entry,Low Risk
2024,5,16,3,3,6.93,144.5,0.88,0.0783,0,225090.0,0.758,Operations Analyst,Principal,Critical Risk
2022,1,22,5,5,6.5,108.8,1.0,0.0662,0,109512.0,0.767,Statistician,Entry,Critical Risk
2020,5,11,6,6,7.5,101.9,0.976,-0.0074,0,249756.0,0.601,Excel Analyst,Principal,High Risk
2025,1,3,6,6,4.87,137.6,0.932,0.072,0,102092.0,0.98,Business Analyst,Entry,Critical Risk
2023,1,6,5,5,8.7,101.5,1.241,0.0674,1,135931.0,0.05,Data Analyst,Entry,Low Risk
2024,3,17,3,3,3.93,152.9,1.028,0.0733,0,199884.0,0.98,Product Manager,Senior,Critical Risk
2023,2,1,4,4,6.4,124.6,0.78,0.0589,0,116021.0,0.98,Accountant,Mid,Critical Risk
2022,1,6,4,4,7.6,113.9,1.005,0.0674,1,110082.0,0.231,Data Analyst,Entry,Low Risk
2022,5,8,6,6,7.15,136.6,1.437,0.0881,1,367433.0,0.142,Data Scientist,Principal,Low Risk
2023,2,17,5,5,8.38,124.6,1.477,0.0733,1,219724.0,0.05,Product Manager,Mid,Low Risk
2023,2,19,3,3,4.13,106.2,0.689,0.0467,0,102504.0,0.98,SEO Specialist,Mid,Critical Risk
2019,3,3,4,4,6.5,104.9,0.798,0.072,0,155103.0,0.68,Business Analyst,Senior,High Risk
2024,5,12,6,6,5.08,126.0,1.016,0.0709,0,259841.0,0.98,Financial Analyst,Principal,Critical Risk
2022,4,18,3,3,6.23,121.8,0.807,0.0194,0,185637.0,0.899,QA Engineer,Lead,Critical Risk
2019,2,11,6,6,8.38,101.8,1.07,-0.0074,1,159139.0,0.15,Excel Analyst,Mid,Low Risk
2019,5,14,3,3,4.03,107.7,0.572,0.0167,0,146174.0,0.98,IT Support Specialist,Principal,Critical Risk
2022,4,10,3,3,8.83,122.5,0.876,0.0445,1,201437.0,0.122,Digital Marketer,Lead,Low Risk
2021,3,14,6,6,7.08,107.2,1.0,0.0167,0,194527.0,0.923,IT Support Specialist,Senior,Critical Risk
2019,3,17,6,6,6.72,98.9,1.423,0.0733,0,276708.0,0.9,Product Manager,Senior,Critical Risk
2019,1,1,3,3,4.87,97.4,0.598,0.0589,0,65535.0,0.98,Accountant,Entry,Critical Risk
2019,5,18,5,5,5.88,104.6,0.976,0.0194,0,249757.0,0.98,QA Engineer,Principal,Critical Risk
2022,3,7,3,3,6.53,138.5,1.076,0.1045,0,209172.0,0.469,Data Engineer,Senior,Moderate Risk
2019,5,8,5,5,8.9,96.5,1.515,0.0881,1,387485.0,0.05,Data Scientist,Principal,Low Risk
2025,3,19,3,3,3.83,122.6,0.522,0.0467,0,101516.0,0.98,SEO Specialist,Senior,Critical Risk
2024,2,15,3,3,5.8,123.6,1.243,0.0728,0,184855.0,0.553,Machine Learning Engineer,Mid,High Risk
2023,3,20,6,6,6.17,87.7,1.163,0.0651,0,226197.0,0.98,SQL Developer,Senior,Critical Risk
2021,3,7,6,6,7.38,114.1,1.504,0.1045,1,292443.0,0.156,Data Engineer,Senior,Low Risk
2025,5,9,6,6,6.93,125.5,1.663,0.061,0,425335.0,0.907,DevOps Engineer,Principal,Critical Risk
2020,1,23,6,6,5.8,101.2,1.005,0.0549,0,110065.0,0.98,Supply Chain Analyst,Entry,Critical Risk
2019,3,2,5,5,5.86,112.3,0.992,0.0454,0,192917.0,0.942,BI Developer,Senior,Critical Risk
2025,2,10,5,5,4.56,125.2,0.802,0.0445,0,119213.0,0.98,Digital Marketer,Mid,Critical Risk
2024,4,20,3,3,6.4,120.8,0.877,0.0651,0,201662.0,0.929,SQL Developer,Lead,Critical Risk
2022,5,23,3,3,7.13,141.9,0.961,0.0549,1,245830.0,0.328,Supply Chain Analyst,Principal,Moderate Risk
2021,1,3,5,5,4.6,134.6,0.749,0.072,0,81978.0,0.98,Business Analyst,Entry,Critical Risk
2019,5,21,3,3,6.27,100.5,0.913,0.044,0,233547.0,0.593,Software Developer,Principal,High Risk
2025,2,19,3,3,4.6,131.2,0.644,0.0467,0,95807.0,0.98,SEO Specialist,Mid,Critical Risk
2025,3,15,6,6,7.13,118.9,1.629,0.0728,1,316860.0,0.224,Machine Learning Engineer,Senior,Low Risk
2024,2,21,5,5,7.1,122.7,1.266,0.044,0,188312.0,0.442,Software Developer,Mid,Moderate Risk
2022,5,12,6,6,7.2,126.9,1.219,0.0709,0,311732.0,0.518,Financial Analyst,Principal,High Risk
2021,5,5,4,4,5.2,108.9,0.768,0.0492,0,196480.0,0.98,Content Strategist,Principal,Critical Risk
2019,2,3,3,3,5.63,93.8,0.637,0.072,0,94799.0,0.98,Business Analyst,Mid,Critical Risk
2024,4,16,4,4,5.3,156.1,0.809,0.0783,0,186082.0,0.98,Operations Analyst,Lead,Critical Risk
2025,4,15,6,6,8.27,156.7,1.807,0.0728,1,415683.0,0.05,Machine Learning Engineer,Lead,Low Risk
2024,5,5,6,6,5.03,128.7,0.753,0.0492,0,192523.0,0.98,Content Strategist,Principal,Critical Risk
2020,4,17,4,4,3.65,103.8,0.976,0.0733,0,224604.0,0.98,Product Manager,Lead,Critical Risk
2022,2,13,3,3,6.47,118.1,0.741,0.015,0,110245.0,0.756,HR Analyst,Mid,Critical Risk
2021,1,19,4,4,6.62,110.1,0.797,0.0467,0,87299.0,0.905,SEO Specialist,Entry,Critical Risk
2022,5,4,3,3,6.43,127.2,1.26,0.0635,0,322306.0,0.62,Cloud Architect,Principal,High Risk
2025,1,12,6,6,7.48,139.8,1.233,0.0709,0,135048.0,0.517,Financial Analyst,Entry,High Risk
2024,5,19,4,4,8.12,131.1,0.91,0.0467,1,232845.0,0.313,SEO Specialist,Principal,Moderate Risk
2024,4,23,4,4,6.5,139.7,0.825,0.0549,0,189708.0,0.64,Supply Chain Analyst,Lead,High Risk
2024,1,6,6,6,8.73,146.3,1.553,0.0674,1,170111.0,0.05,Data Analyst,Entry,Low Risk
2021,3,21,3,3,6.27,109.4,0.964,0.044,0,187403.0,0.544,Software Developer,Senior,High Risk
2021,1,11,4,4,5.88,100.6,0.694,-0.0074,0,76043.0,0.98,Excel Analyst,Entry,Critical Risk
2020,1,10,6,6,5.6,103.8,0.987,0.0445,0,108069.0,0.98,Digital Marketer,Entry,Critical Risk
2024,1,16,3,3,7.33,143.1,0.801,0.0783,0,87769.0,0.432,Operations Analyst,Entry,Moderate Risk
2022,2,21,4,4,5.52,132.4,1.081,0.044,0,160707.0,0.98,Software Developer,Mid,Critical Risk
2023,5,15,6,6,6.43,109.3,1.73,0.0728,0,442476.0,0.903,Machine Learning Engineer,Principal,Critical Risk
2022,1,10,6,6,6.37,136.8,1.022,0.0445,0,111956.0,0.98,Digital Marketer,Entry,Critical Risk
2021,5,1,6,6,5.68,125.9,0.968,0.0589,0,247558.0,0.98,Accountant,Principal,Critical Risk
2019,4,22,6,6,6.27,102.6,1.156,0.0662,0,265911.0,0.892,Statistician,Lead,Critical Risk
2025,3,22,5,5,8.24,145.7,1.328,0.0662,1,258213.0,0.05,Statistician,Senior,Low Risk
2022,5,10,6,6,7.45,122.9,1.21,0.0445,1,309551.0,0.309,Digital Marketer,Principal,Moderate Risk
2020,5,0,5,5,6.92,112.8,1.513,0.0761,0,387016.0,0.186,AI Engineer,Principal,Low Risk
2021,3,0,4,4,6.68,120.6,1.377,0.0761,0,267770.0,0.283,AI Engineer,Senior,Moderate Risk
2024,2,2,5,5,3.68,114.8,0.774,0.0454,0,115159.0,0.98,BI Developer,Mid,Critical Risk
2019,3,20,4,4,6.7,97.6,0.85,0.0651,0,165281.0,0.562,SQL Developer,Senior,High Risk
2019,5,3,6,6,6.77,94.6,1.077,0.072,0,275444.0,0.592,Business Analyst,Principal,High Risk
2020,3,3,3,3,8.0,104.1,0.817,0.072,1,158988.0,0.05,Business Analyst,Senior,Low Risk
2024,2,3,5,5,6.98,127.6,1.112,0.072,0,165332.0,0.626,Business Analyst,Mid,High Risk
2023,2,1,6,6,5.4,122.7,0.915,0.0589,0,136119.0,0.98,Accountant,Mid,Critical Risk
2023,1,17,5,5,7.14,115.3,1.474,0.0733,1,161394.0,0.32,Product Manager,Entry,Moderate Risk
2019,4,18,5,5,5.98,102.5,0.943,0.0194,0,216912.0,0.98,QA Engineer,Lead,Critical Risk
2024,3,11,6,6,7.02,124.7,1.075,-0.0074,0,209078.0,0.98,Excel Analyst,Senior,Critical Risk
2019,2,3,5,5,7.04,108.8,0.898,0.072,0,133625.0,0.44,Business Analyst,Mid,Moderate Risk
2023,4,19,3,3,6.33,136.7,0.706,0.0467,0,162294.0,0.892,SEO Specialist,Lead,Critical Risk
2019,2,8,3,3,2.33,92.4,0.824,0.0881,0,122610.0,0.98,Data Scientist,Mid,Critical Risk
2019,4,2,5,5,5.12,96.5,0.849,0.0454,0,195203.0,0.98,BI Developer,Lead,Critical Risk
2019,3,10,5,5,6.16,95.4,0.957,0.0445,0,186169.0,0.98,Digital Marketer,Senior,Critical Risk
2022,4,0,6,6,7.62,126.8,1.792,0.0761,1,412099.0,0.05,AI Engineer,Lead,Low Risk
2025,5,6,3,3,8.5,157.5,0.982,0.0674,1,251277.0,0.093,Data Analyst,Principal,Low Risk
2022,4,13,5,5,6.78,121.2,0.853,0.015,0,196131.0,0.672,HR Analyst,Lead,High Risk
2019,5,13,5,5,8.18,105.8,1.013,0.015,1,259206.0,0.05,HR Analyst,Principal,Low Risk
2019,1,14,5,5,5.72,102.3,0.672,0.0167,0,73551.0,0.98,IT Support Specialist,Entry,Critical Risk
2022,4,11,6,6,6.53,99.6,0.989,-0.0074,0,227605.0,0.98,Excel Analyst,Lead,Critical Risk
2025,3,18,3,3,4.83,120.5,0.801,0.0194,0,155795.0,0.98,QA Engineer,Senior,Critical Risk
2024,2,10,6,6,5.88,143.4,1.029,0.0445,0,153055.0,0.98,Digital Marketer,Mid,Critical Risk
2021,2,20,4,4,5.08,103.3,0.725,0.0651,0,107839.0,0.98,SQL Developer,Mid,Critical Risk
2022,4,16,6,6,7.93,131.2,1.295,0.0783,1,297997.0,0.066,Operations Analyst,Lead,Low Risk
