job_role,experience_level,predicted_auto_risk,risk_tier,human_dependency_score
AI Engineer,Entry,0.8293,💀 Critical Risk,17.07
AI Engineer,Lead,0.7058,🔴 High Risk,29.42
AI Engineer,Mid,0.6579,🔴 High Risk,34.21
AI Engineer,Principal,0.3716,🟡 Low Risk,62.84
AI Engineer,Senior,0.5949,🟠 Moderate Risk,40.51
Accountant,Entry,1.0,💀 Critical Risk,0.0
Accountant,Lead,0.9603,💀 Critical Risk,3.97
Accountant,Mid,0.9958,💀 Critical Risk,0.42
Accountant,Principal,0.9839,💀 Critical Risk,1.61
Accountant,Senior,0.9069,💀 Critical Risk,9.31
BI Developer,Entry,0.9323,💀 Critical Risk,6.77
BI Developer,Lead,0.9492,💀 Critical Risk,5.08
BI Developer,Mid,0.8559,💀 Critical Risk,14.41
BI Developer,Principal,0.939,💀 Critical Risk,6.1
BI Developer,Senior,0.7542,🔴 High Risk,24.58
Business Analyst,Entry,0.9627,💀 Critical Risk,3.73
Business Analyst,Lead,0.9099,💀 Critical Risk,9.01
Business Analyst,Mid,0.8646,💀 Critical Risk,13.54
Business Analyst,Principal,0.6473,🔴 High Risk,35.27
Business Analyst,Senior,0.6914,🔴 High Risk,30.86
Cloud Architect,Entry,0.6953,🔴 High Risk,30.47
Cloud Architect,Lead,0.5843,🟠 Moderate Risk,41.57
Cloud Architect,Mid,0.6162,🔴 High Risk,38.38
Cloud Architect,Principal,0.8289,💀 Critical Risk,17.11
Cloud Architect,Senior,0.8438,💀 Critical Risk,15.62
Content Strategist,Entry,0.9639,💀 Critical Risk,3.61
Content Strategist,Lead,0.9457,💀 Critical Risk,5.43
Content Strategist,Mid,0.7873,🔴 High Risk,21.27
Content Strategist,Principal,0.9144,💀 Critical Risk,8.56
Content Strategist,Senior,0.716,🔴 High Risk,28.4
Data Analyst,Entry,0.7894,🔴 High Risk,21.06
Data Analyst,Lead,0.9643,💀 Critical Risk,3.57
Data Analyst,Mid,0.8127,💀 Critical Risk,18.73
Data Analyst,Principal,0.8452,💀 Critical Risk,15.48
Data Analyst,Senior,0.842,💀 Critical Risk,15.8
Data Engineer,Entry,0.6961,🔴 High Risk,30.39
Data Engineer,Lead,0.8481,💀 Critical Risk,15.19
Data Engineer,Mid,0.6462,🔴 High Risk,35.38
Data Engineer,Principal,0.5604,🟠 Moderate Risk,43.96
Data Engineer,Senior,0.623,🔴 High Risk,37.7
Data Scientist,Entry,0.8963,💀 Critical Risk,10.37
Data Scientist,Lead,0.8424,💀 Critical Risk,15.76
Data Scientist,Mid,0.6652,🔴 High Risk,33.48
Data Scientist,Principal,0.5122,🟠 Moderate Risk,48.78
Data Scientist,Senior,0.7965,🔴 High Risk,20.35
DevOps Engineer,Entry,0.8613,💀 Critical Risk,13.87
DevOps Engineer,Lead,0.8031,💀 Critical Risk,19.69
DevOps Engineer,Mid,0.5726,🟠 Moderate Risk,42.74
DevOps Engineer,Principal,0.8331,💀 Critical Risk,16.69
DevOps Engineer,Senior,0.739,🔴 High Risk,26.1
Digital Marketer,Entry,0.9701,💀 Critical Risk,2.99
