job_role,skill,trend_score,salary_boost_usd,automation_risk_impact,category,priority_score,skill_rank,is_top_recommendation
Data Analyst,SQL,7.5,8000,-0.05,Rising,4.33,5,0
Data Analyst,Python,9.2,18000,-0.15,Rising,5.98,1,1
Data Analyst,Power BI,7.8,9000,-0.04,Rising,4.52,2,1
Data Analyst,Tableau,7.6,9500,-0.04,Rising,4.45,4,0
Data Analyst,Statistics,7.4,11000,-0.06,Rising,4.48,3,1
Data Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,6,0
Business Analyst,SQL,7.5,8000,-0.05,Rising,4.33,4,0
Business Analyst,Power BI,7.8,9000,-0.04,Rising,4.52,2,1
Business Analyst,Statistics,7.4,11000,-0.06,Rising,4.48,3,1
Business Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,5,0
Business Analyst,A/B Testing,7.9,13000,-0.07,Rising,4.87,1,1
Data Scientist,Python,9.2,18000,-0.15,Rising,5.98,3,1
Data Scientist,Machine Learning,9.5,25000,-0.2,Rising,6.65,1,1
Data Scientist,Statistics,7.4,11000,-0.06,Rising,4.48,5,0
Data Scientist,SQL,7.5,8000,-0.05,Rising,4.33,6,0
Data Scientist,Deep Learning,9.1,28000,-0.18,Rising,6.59,2,1
Data Scientist,A/B Testing,7.9,13000,-0.07,Rising,4.87,4,0
Machine Learning Engineer,Python,9.2,18000,-0.15,Rising,5.98,5,0
Machine Learning Engineer,Machine Learning,9.5,25000,-0.2,Rising,6.65,1,1
Machine Learning Engineer,Deep Learning,9.1,28000,-0.18,Rising,6.59,2,1
Machine Learning Engineer,MLOps,9.0,24000,-0.17,Rising,6.28,3,1
Machine Learning Engineer,Cloud (AWS/GCP),9.0,22000,-0.12,Rising,6.06,4,0
Machine Learning Engineer,Spark/PySpark,8.7,20000,-0.1,Rising,5.75,6,0
Data Engineer,Python,9.2,18000,-0.15,Rising,5.98,2,1
Data Engineer,SQL,7.5,8000,-0.05,Rising,4.33,6,0
Data Engineer,Spark/PySpark,8.7,20000,-0.1,Rising,5.75,3,1
Data Engineer,Airflow,8.3,14000,-0.07,Rising,5.13,5,0
Data Engineer,dbt,8.5,15000,-0.08,Rising,5.31,4,0
Data Engineer,Cloud (AWS/GCP),9.0,22000,-0.12,Rising,6.06,1,1
BI Developer,Power BI,7.8,9000,-0.04,Rising,4.52,2,1
BI Developer,Tableau,7.6,9500,-0.04,Rising,4.45,4,0
BI Developer,SQL,7.5,8000,-0.05,Rising,4.33,5,0
BI Developer,Statistics,7.4,11000,-0.06,Rising,4.48,3,1
BI Developer,dbt,8.5,15000,-0.08,Rising,5.31,1,1
SQL Developer,SQL,7.5,8000,-0.05,Rising,4.33,1,1
SQL Developer,MS Access,2.2,1000,0.5,Declining,0.16,2,1
SQL Developer,Crystal Reports,1.8,500,0.55,Declining,-0.17,3,1
SQL Developer,Legacy VBA,2.0,500,0.6,Declining,-0.17,3,1
Excel Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,1,1
Excel Analyst,Legacy VBA,2.0,500,0.6,Declining,-0.17,3,1
Excel Analyst,MS Access,2.2,1000,0.5,Declining,0.16,2,1
Excel Analyst,Crystal Reports,1.8,500,0.55,Declining,-0.17,3,1
Statistician,Statistics,7.4,11000,-0.06,Rising,4.48,3,1
Statistician,R,6.5,7000,-0.03,Stable,3.73,4,0
Statistician,Python,9.2,18000,-0.15,Rising,5.98,1,1
Statistician,A/B Testing,7.9,13000,-0.07,Rising,4.87,2,1
AI Engineer,Python,9.2,18000,-0.15,Rising,5.98,7,0
AI Engineer,Deep Learning,9.1,28000,-0.18,Rising,6.59,3,1
AI Engineer,LLMs/GenAI,9.8,30000,-0.22,Rising,7.14,1,1
AI Engineer,Machine Learning,9.5,25000,-0.2,Rising,6.65,2,1
AI Engineer,Prompt Engineering,9.3,21000,-0.18,Rising,6.27,5,0
AI Engineer,MLOps,9.0,24000,-0.17,Rising,6.28,4,0
AI Engineer,Vector Databases,9.1,22000,-0.16,Rising,6.19,6,0
Cloud Architect,Cloud (AWS/GCP),9.0,22000,-0.12,Rising,6.06,1,1
Cloud Architect,Kubernetes,8.1,19000,-0.09,Rising,5.37,3,1
Cloud Architect,Python,9.2,18000,-0.15,Rising,5.98,2,1
DevOps Engineer,Kubernetes,8.1,19000,-0.09,Rising,5.37,3,1
DevOps Engineer,Cloud (AWS/GCP),9.0,22000,-0.12,Rising,6.06,1,1
DevOps Engineer,Python,9.2,18000,-0.15,Rising,5.98,2,1
DevOps Engineer,Airflow,8.3,14000,-0.07,Rising,5.13,4,0
Software Developer,Python,9.2,18000,-0.15,Rising,5.98,2,1
Software Developer,SQL,7.5,8000,-0.05,Rising,4.33,4,0
Software Developer,Cloud (AWS/GCP),9.0,22000,-0.12,Rising,6.06,1,1
Software Developer,Kubernetes,8.1,19000,-0.09,Rising,5.37,3,1
QA Engineer,Manual Testing,2.8,1000,0.45,Declining,0.56,3,1
QA Engineer,Python,9.2,18000,-0.15,Rising,5.98,1,1
QA Engineer,SQL,7.5,8000,-0.05,Rising,4.33,2,1
IT Support Specialist,MS Access,2.2,1000,0.5,Declining,0.16,2,1
IT Support Specialist,Legacy VBA,2.0,500,0.6,Declining,-0.17,3,1
IT Support Specialist,Excel (Basic),3.5,2000,0.3,Declining,1.27,1,1
IT Support Specialist,Cold Calling,2.0,0,0.65,Declining,-0.3,4,0
Digital Marketer,Basic SEO,3.0,1500,0.55,Declining,0.49,3,1
Digital Marketer,Cold Calling,2.0,0,0.65,Declining,-0.3,4,0
Digital Marketer,A/B Testing,7.9,13000,-0.07,Rising,4.87,1,1
Digital Marketer,Statistics,7.4,11000,-0.06,Rising,4.48,2,1
Content Strategist,Basic SEO,3.0,1500,0.55,Declining,0.49,2,1
Content Strategist,Cold Calling,2.0,0,0.65,Declining,-0.3,3,1
Content Strategist,Prompt Engineering,9.3,21000,-0.18,Rising,6.27,1,1
SEO Specialist,Basic SEO,3.0,1500,0.55,Declining,0.49,3,1
SEO Specialist,Statistics,7.4,11000,-0.06,Rising,4.48,2,1
SEO Specialist,A/B Testing,7.9,13000,-0.07,Rising,4.87,1,1
Financial Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,5,0
Financial Analyst,SQL,7.5,8000,-0.05,Rising,4.33,4,0
Financial Analyst,Statistics,7.4,11000,-0.06,Rising,4.48,3,1
Financial Analyst,Python,9.2,18000,-0.15,Rising,5.98,1,1
Financial Analyst,Power BI,7.8,9000,-0.04,Rising,4.52,2,1
Accountant,Excel (Basic),3.5,2000,0.3,Declining,1.27,1,1
Accountant,Legacy VBA,2.0,500,0.6,Declining,-0.17,3,1
Accountant,MS Access,2.2,1000,0.5,Declining,0.16,2,1
Accountant,Copy-Paste Reporting,1.0,0,0.9,Declining,-1.3,4,0
HR Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,4,0
HR Analyst,SQL,7.5,8000,-0.05,Rising,4.33,3,1
HR Analyst,Statistics,7.4,11000,-0.06,Rising,4.48,2,1
HR Analyst,Power BI,7.8,9000,-0.04,Rising,4.52,1,1
Supply Chain Analyst,SQL,7.5,8000,-0.05,Rising,4.33,4,0
Supply Chain Analyst,Python,9.2,18000,-0.15,Rising,5.98,1,1
Supply Chain Analyst,Statistics,7.4,11000,-0.06,Rising,4.48,3,1
Supply Chain Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,5,0
Supply Chain Analyst,Power BI,7.8,9000,-0.04,Rising,4.52,2,1
Operations Analyst,SQL,7.5,8000,-0.05,Rising,4.33,3,1
Operations Analyst,Excel (Basic),3.5,2000,0.3,Declining,1.27,4,0
Operations Analyst,Statistics,7.4,11000,-0.06,Rising,4.48,2,1
Operations Analyst,Power BI,7.8,9000,-0.04,Rising,4.52,1,1
Product Manager,SQL,7.5,8000,-0.05,Rising,4.33,5,0
Product Manager,A/B Testing,7.9,13000,-0.07,Rising,4.87,3,1
Product Manager,Statistics,7.4,11000,-0.06,Rising,4.48,4,0
Product Manager,Python,9.2,18000,-0.15,Rising,5.98,2,1
Product Manager,LLMs/GenAI,9.8,30000,-0.22,Rising,7.14,1,1
