job_role,avg_salary,avg_auto_risk,avg_demand,avg_trend,count,survival_preview
AI Engineer,289297.92,0.41,144.22,7.13,13,0.607
Accountant,199611.22,0.86,134.7,6.54,9,0.123
BI Developer,168889.6,0.92,148.09,5.75,10,0.068
Business Analyst,176297.88,0.69,144.99,6.38,16,0.287
Cloud Architect,267143.5,0.54,139.67,6.67,18,0.429
Content Strategist,167498.78,0.73,145.54,5.74,9,0.226
Data Analyst,177259.09,0.75,139.62,6.06,11,0.212
Data Engineer,293153.0,0.55,144.58,6.53,9,0.425
Data Scientist,217243.0,0.79,150.02,5.26,8,0.166
DevOps Engineer,295341.64,0.64,147.58,6.66,11,0.354
Digital Marketer,145997.38,0.82,138.7,5.83,13,0.146
Excel Analyst,143458.75,0.98,111.16,5.5,16,0.012
Financial Analyst,154838.58,0.83,130.09,6.06,12,0.134
HR Analyst,131054.08,0.88,133.89,5.53,13,0.089
IT Support Specialist,169024.5,0.93,102.15,6.06,6,0.043
Machine Learning Engineer,301092.5,0.7,152.59,5.78,10,0.265
Operations Analyst,190980.67,0.74,138.57,6.72,15,0.242
Product Manager,231836.09,0.78,133.71,5.63,11,0.166
QA Engineer,176406.27,0.95,104.46,5.32,11,0.028
SEO Specialist,155046.7,0.9,144.45,5.47,20,0.079
SQL Developer,181442.0,0.84,110.83,5.07,7,0.09
Software Developer,210338.67,0.78,151.38,5.69,6,0.189
Statistician,177096.0,0.67,148.15,6.29,11,0.308
Supply Chain Analyst,150953.64,0.78,138.4,6.09,11,0.185
