job_role,year,salary_usd,type,growth_tier,salary_cagr
AI Engineer,2019,141987.0,historical,Moderate Growth,0.0761
AI Engineer,2020,154484.0,historical,Moderate Growth,0.0761
AI Engineer,2021,169282.0,historical,Moderate Growth,0.0761
AI Engineer,2022,193161.0,historical,Moderate Growth,0.0761
AI Engineer,2023,231431.0,historical,Moderate Growth,0.0761
AI Engineer,2024,204886.0,historical,Moderate Growth,0.0761
AI Engineer,2025,256150.0,historical,Moderate Growth,0.0761
AI Engineer,2026,265260.0,projected,Moderate Growth,0.0761
AI Engineer,2027,283312.0,projected,Moderate Growth,0.0761
AI Engineer,2028,301363.0,projected,Moderate Growth,0.0761
AI Engineer,2029,319415.0,projected,Moderate Growth,0.0761
AI Engineer,2030,337466.0,projected,Moderate Growth,0.0761
Accountant,2019,68849.0,historical,Moderate Growth,0.0589
Accountant,2020,70690.0,historical,Moderate Growth,0.0589
Accountant,2021,73295.0,historical,Moderate Growth,0.0589
Accountant,2022,77844.0,historical,Moderate Growth,0.0589
Accountant,2023,81973.0,historical,Moderate Growth,0.0589
Accountant,2024,91676.0,historical,Moderate Growth,0.0589
Accountant,2025,97108.0,historical,Moderate Growth,0.0589
Accountant,2026,99552.0,projected,Moderate Growth,0.0589
Accountant,2027,104388.0,projected,Moderate Growth,0.0589
Accountant,2028,109225.0,projected,Moderate Growth,0.0589
Accountant,2029,114062.0,projected,Moderate Growth,0.0589
Accountant,2030,118898.0,projected,Moderate Growth,0.0589
BI Developer,2019,89502.0,historical,Moderate Growth,0.0454
BI Developer,2020,94991.0,historical,Moderate Growth,0.0454
BI Developer,2021,91430.0,historical,Moderate Growth,0.0454
BI Developer,2022,97844.0,historical,Moderate Growth,0.0454
BI Developer,2023,86433.0,historical,Moderate Growth,0.0454
BI Developer,2024,111733.0,historical,Moderate Growth,0.0454
BI Developer,2025,98003.0,historical,Moderate Growth,0.0454
BI Developer,2026,103418.0,projected,Moderate Growth,0.0454
BI Developer,2027,105346.0,projected,Moderate Growth,0.0454
BI Developer,2028,107274.0,projected,Moderate Growth,0.0454
BI Developer,2029,109203.0,projected,Moderate Growth,0.0454
BI Developer,2030,111131.0,projected,Moderate Growth,0.0454
Business Analyst,2019,70698.0,historical,Moderate Growth,0.072
Business Analyst,2020,78569.0,historical,Moderate Growth,0.072
Business Analyst,2021,80857.0,historical,Moderate Growth,0.072
Business Analyst,2022,81051.0,historical,Moderate Growth,0.072
Business Analyst,2023,87644.0,historical,Moderate Growth,0.072
Business Analyst,2024,100083.0,historical,Moderate Growth,0.072
Business Analyst,2025,93649.0,historical,Moderate Growth,0.072
Business Analyst,2026,101603.0,projected,Moderate Growth,0.072
Business Analyst,2027,105841.0,projected,Moderate Growth,0.072
Business Analyst,2028,110079.0,projected,Moderate Growth,0.072
Business Analyst,2029,114317.0,projected,Moderate Growth,0.072
Business Analyst,2030,118555.0,projected,Moderate Growth,0.072
Cloud Architect,2019,139495.0,historical,Moderate Growth,0.0635
Cloud Architect,2020,148487.0,historical,Moderate Growth,0.0635
Cloud Architect,2021,148004.0,historical,Moderate Growth,0.0635
Cloud Architect,2022,156599.0,historical,Moderate Growth,0.0635
Cloud Architect,2023,149406.0,historical,Moderate Growth,0.0635
Cloud Architect,2024,189751.0,historical,Moderate Growth,0.0635
Cloud Architect,2025,164741.0,historical,Moderate Growth,0.0635
Cloud Architect,2026,179450.0,projected,Moderate Growth,0.0635
Cloud Architect,2027,185153.0,projected,Moderate Growth,0.0635
Cloud Architect,2028,190855.0,projected,Moderate Growth,0.0635
Cloud Architect,2029,196557.0,projected,Moderate Growth,0.0635
Cloud Architect,2030,202260.0,projected,Moderate Growth,0.0635
Content Strategist,2019,65196.0,historical,Moderate Growth,0.0492
Content Strategist,2020,62675.0,historical,Moderate Growth,0.0492
Content Strategist,2021,74173.0,historical,Moderate Growth,0.0492
Content Strategist,2022,72474.0,historical,Moderate Growth,0.0492
Content Strategist,2023,65094.0,historical,Moderate Growth,0.0492
Content Strategist,2024,82893.0,historical,Moderate Growth,0.0492
Content Strategist,2025,85135.0,historical,Moderate Growth,0.0492
Content Strategist,2026,85545.0,projected,Moderate Growth,0.0492
Content Strategist,2027,88801.0,projected,Moderate Growth,0.0492
Content Strategist,2028,92057.0,projected,Moderate Growth,0.0492
Content Strategist,2029,95314.0,projected,Moderate Growth,0.0492
Content Strategist,2030,98570.0,projected,Moderate Growth,0.0492
Data Analyst,2019,67229.0,historical,Moderate Growth,0.0674
Data Analyst,2020,73872.0,historical,Moderate Growth,0.0674
Data Analyst,2021,77003.0,historical,Moderate Growth,0.0674
Data Analyst,2022,89565.0,historical,Moderate Growth,0.0674
Data Analyst,2023,88979.0,historical,Moderate Growth,0.0674
Data Analyst,2024,93161.0,historical,Moderate Growth,0.0674
Data Analyst,2025,84878.0,historical,Moderate Growth,0.0674
Data Analyst,2026,96884.0,projected,Moderate Growth,0.0674
Data Analyst,2027,100580.0,projected,Moderate Growth,0.0674
Data Analyst,2028,104277.0,projected,Moderate Growth,0.0674
Data Analyst,2029,107973.0,projected,Moderate Growth,0.0674
Data Analyst,2030,111670.0,projected,Moderate Growth,0.0674
Data Engineer,2019,116588.0,historical,High Growth,0.1045
Data Engineer,2020,126028.0,historical,High Growth,0.1045
Data Engineer,2021,150237.0,historical,High Growth,0.1045
Data Engineer,2022,171058.0,historical,High Growth,0.1045
Data Engineer,2023,158259.0,historical,High Growth,0.1045
Data Engineer,2024,191608.0,historical,High Growth,0.1045
Data Engineer,2025,230255.0,historical,High Growth,0.1045
