job_role,year,avg_salary_usd,growth_rate,base_automation_risk,salary_yoy_pct,salary_index,salary_cagr_5yr,growth_tier,salary_lag1,salary_lag2
AI Engineer,2019,141987.0,0.0831,0.08,,100.0,0.0761,Moderate Growth,,
AI Engineer,2020,154484.0,0.0899,0.08,0.088,108.8,0.0761,Moderate Growth,141987.0,
AI Engineer,2021,169282.0,0.0709,0.08,0.0958,119.22,0.0761,Moderate Growth,154484.0,141987.0
AI Engineer,2022,193161.0,0.1043,0.08,0.1411,136.04,0.0761,Moderate Growth,169282.0,154484.0
AI Engineer,2023,231431.0,0.1235,0.08,0.1981,162.99,0.0761,Moderate Growth,193161.0,169282.0
AI Engineer,2024,204886.0,0.0728,0.08,-0.1147,144.3,0.0761,Moderate Growth,231431.0,193161.0
AI Engineer,2025,256149.75,0.1082,0.08,0.2502,180.4,0.0761,Moderate Growth,204886.0,231431.0
Accountant,2019,68849.0,0.0284,0.62,,100.0,0.0589,Moderate Growth,,
Accountant,2020,70690.0,0.0545,0.62,0.0267,102.67,0.0589,Moderate Growth,68849.0,
Accountant,2021,73295.0,0.0391,0.62,0.0369,106.46,0.0589,Moderate Growth,70690.0,68849.0
Accountant,2022,77844.0,0.0458,0.62,0.0621,113.06,0.0589,Moderate Growth,73295.0,70690.0
Accountant,2023,81973.0,0.0554,0.62,0.053,119.06,0.0589,Moderate Growth,77844.0,73295.0
Accountant,2024,91676.0,0.0575,0.62,0.1184,133.16,0.0589,Moderate Growth,81973.0,77844.0
Accountant,2025,97108.0,0.0587,0.62,0.0593,141.04,0.0589,Moderate Growth,91676.0,81973.0
BI Developer,2019,89502.0,0.0648,0.38,,100.0,0.0454,Moderate Growth,,
BI Developer,2020,94991.0,0.0698,0.38,0.0613,106.13,0.0454,Moderate Growth,89502.0,
BI Developer,2021,91430.0,0.045,0.38,-0.0375,102.15,0.0454,Moderate Growth,94991.0,89502.0
BI Developer,2022,97844.0,0.0547,0.38,0.0702,109.32,0.0454,Moderate Growth,91430.0,94991.0
BI Developer,2023,86433.0,0.0263,0.38,-0.1166,96.57,0.0454,Moderate Growth,97844.0,91430.0
BI Developer,2024,111733.0,0.0645,0.38,0.2927,124.84,0.0454,Moderate Growth,86433.0,97844.0
BI Developer,2025,98003.0,0.0309,0.38,-0.1229,109.5,0.0454,Moderate Growth,111733.0,86433.0
Business Analyst,2019,70698.0,0.0691,0.3,,100.0,0.072,Moderate Growth,,
Business Analyst,2020,78569.0,0.0344,0.3,0.1113,111.13,0.072,Moderate Growth,70698.0,
Business Analyst,2021,80857.0,0.0539,0.3,0.0291,114.37,0.072,Moderate Growth,78569.0,70698.0
Business Analyst,2022,81051.0,0.0308,0.3,0.0024,114.64,0.072,Moderate Growth,80857.0,78569.0
