job_role,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,growth_2025_to_2030_pct,rank_by_2030_salary
AI Engineer,141987.0,154484.0,169282.0,193161.0,231431.0,204886.0,256150.0,265260.0,283312.0,301363.0,319415.0,337466.0,31.75,1
Accountant,68849.0,70690.0,73295.0,77844.0,81973.0,91676.0,97108.0,99552.0,104388.0,109225.0,114062.0,118898.0,22.44,12
BI Developer,89502.0,94991.0,91430.0,97844.0,86433.0,111733.0,98003.0,103418.0,105346.0,107274.0,109203.0,111131.0,13.4,16
Business Analyst,70698.0,78569.0,80857.0,81051.0,87644.0,100083.0,93649.0,101603.0,105841.0,110079.0,114317.0,118555.0,26.6,13
Cloud Architect,139495.0,148487.0,148004.0,156599.0,149406.0,189751.0,164741.0,179450.0,185153.0,190855.0,196557.0,202260.0,22.77,6
Content Strategist,65196.0,62675.0,74173.0,72474.0,65094.0,82893.0,85135.0,85545.0,88801.0,92057.0,95314.0,98570.0,15.78,19
Data Analyst,67229.0,73872.0,77003.0,89565.0,88979.0,93161.0,84878.0,96884.0,100580.0,104277.0,107973.0,111670.0,31.57,15
Data Engineer,116588.0,126028.0,150237.0,171058.0,158259.0,191608.0,230255.0,234351.0,254164.0,274320.0,294818.0,315660.0,37.09,2
Data Scientist,109753.0,119451.0,127673.0,149645.0,154919.0,167401.0,164947.0,185049.0,197399.0,209955.0,222718.0,235687.0,42.89,4
DevOps Engineer,113009.0,119966.0,128203.0,133824.0,117496.0,151937.0,144632.0,151024.0,156314.0,161603.0,166893.0,172182.0,19.05,7
Digital Marketer,68545.0,66120.0,67810.0,80012.0,69077.0,85207.0,83195.0,86194.0,89172.0,92150.0,95129.0,98107.0,17.92,20
Excel Analyst,57615.0,54742.0,59578.0,60428.0,56426.0,55526.0,57222.0,56683.0,56300.0,55919.0,55538.0,55159.0,-3.61,24
Financial Analyst,71889.0,84820.0,88253.0,96149.0,95561.0,101254.0,122505.0,121779.0,128637.0,135495.0,142353.0,149211.0,21.8,9
HR Analyst,68621.0,70578.0,69620.0,77605.0,78834.0,73919.0,93935.0,89279.0,92558.0,95838.0,99118.0,102398.0,9.01,18
IT Support Specialist,55324.0,52037.0,60039.0,58799.0,55809.0,60113.0,56934.0,59401.0,59999.0,60598.0,61196.0,61794.0,8.54,23
Machine Learning Engineer,135994.0,150538.0,162120.0,183284.0,210226.0,193257.0,204188.0,225390.0,237466.0,249542.0,261618.0,273694.0,34.04,3
Operations Analyst,67261.0,74104.0,80987.0,89891.0,80018.0,98071.0,94331.0,101834.0,106412.0,110989.0,115567.0,120145.0,27.37,11
Product Manager,112757.0,117479.0,117957.0,127077.0,130956.0,160602.0,175794.0,175854.0,186152.0,196451.0,206749.0,217048.0,23.47,5
QA Engineer,81002.0,83710.0,91663.0,81773.0,82912.0,89163.0,81283.0,84929.0,85036.0,85143.0,85250.0,85357.0,5.01,22
SEO Specialist,62646.0,60013.0,62085.0,65110.0,64273.0,78719.0,79368.0,80283.0,83489.0,86695.0,89901.0,93107.0,17.31,21
SQL Developer,78405.0,81889.0,79574.0,90732.0,103501.0,107497.0,82672.0,101745.0,104886.0,108027.0,111167.0,114308.0,38.27,14
Software Developer,108111.0,109157.0,112117.0,127298.0,128800.0,134098.0,135777.0,143560.0,148902.0,154243.0,159585.0,164926.0,21.47,8
Statistician,83241.0,94875.0,95170.0,106830.0,106679.0,114699.0,115150.0,123361.0,128607.0,133853.0,139099.0,144345.0,25.35,10
Supply Chain Analyst,70930.0,76892.0,75976.0,78946.0,82309.0,92664.0,90695.0,95083.0,98554.0,102024.0,105495.0,108965.0,20.14,17
