skill,skill_tier,composite_trend_score,trend_slope,trend_r2,avg_trend_score,trend_score_2025,trend_score_2026_proj,postings_slope,category,velocity_label
Deep Learning,🚀 Skyrocketing,94.23,0.10643,0.5183,9.283,9.27,9.71,99.11,Rising,Rising
Kubernetes,🚀 Skyrocketing,92.34,0.12786,0.6184,8.374,9.06,8.89,90.5,Rising,Rising
Prompt Engineering,🚀 Skyrocketing,92.23,0.10036,0.4705,9.527,9.93,9.93,88.61,Rising,Rising
Cloud (AWS/GCP),🚀 Skyrocketing,87.38,0.06571,0.2226,9.246,9.26,9.51,95.82,Rising,Rising
MLOps,🚀 Skyrocketing,85.41,0.08179,0.8505,9.18,9.44,9.51,74.43,Rising,Rising
Spark/PySpark,🚀 Skyrocketing,84.77,0.08429,0.5532,8.927,9.3,9.26,74.11,Rising,Rising
LLMs/GenAI,🚀 Skyrocketing,83.59,0.02393,0.6312,9.96,10.0,10.0,94.57,Rising,Stable
dbt,🚀 Skyrocketing,82.8,0.06179,0.495,8.697,8.71,8.94,85.89,Rising,Rising
SQL,🚀 Skyrocketing,80.78,0.09107,0.3709,7.694,8.33,8.06,72.36,Rising,Rising
Statistics,🚀 Skyrocketing,80.58,0.06857,0.3092,7.676,7.74,7.95,89.18,Rising,Rising
Tableau,📈 Rising,78.95,0.07357,0.3319,7.681,8.25,7.98,76.71,Rising,Rising
Vector Databases,📈 Rising,77.93,0.02821,0.1772,9.28,9.22,9.39,75.21,Rising,Stable
Airflow,📈 Rising,77.29,0.05714,0.4153,8.444,8.44,8.67,65.82,Rising,Rising
A/B Testing,📈 Rising,73.54,0.03679,0.1438,8.081,8.08,8.23,69.29,Rising,Stable
Python,📈 Rising,72.49,-0.015,0.0122,9.27,9.0,9.21,80.68,Rising,Stable
Power BI,📈 Rising,72.18,0.045,0.2258,7.913,8.09,8.09,59.14,Rising,Stable
Machine Learning,📈 Rising,71.25,-0.01786,0.0443,9.651,9.75,9.58,68.96,Rising,Stable
R,➡️  Stable,58.23,-0.00643,0.0024,6.563,6.15,6.54,53.14,Stable,Stable
Crystal Reports,📉 Declining,35.8,0.02179,0.0641,1.717,1.92,1.8,9.96,Declining,Stable
Manual Testing,📉 Declining,23.72,-0.07214,0.2201,2.581,2.03,2.29,3.14,Declining,Declining
Basic SEO,📉 Declining,22.73,-0.09893,0.3745,2.711,2.84,2.32,16.25,Declining,Declining
Data Entry,📉 Declining,21.59,-0.05821,0.469,1.273,1.2,1.04,7.0,Declining,Declining
MS Access,📉 Declining,21.52,-0.06857,0.259,1.997,1.42,1.72,0.43,Declining,Declining
Legacy VBA,💀 Obsolete,19.95,-0.08714,0.5515,1.636,1.46,1.29,13.79,Declining,Declining
COBOL,💀 Obsolete,16.0,-0.08893,0.3312,1.029,0.77,0.67,6.61,Declining,Declining
Excel (Basic),💀 Obsolete,13.44,-0.17321,0.8087,3.2,2.61,2.51,16.07,Declining,Declining
Copy-Paste Reporting,💀 Obsolete,11.06,-0.10357,0.7105,0.713,0.5,0.5,-1.46,Declining,Declining
Cold Calling,💀 Obsolete,4.22,-0.16821,0.764,1.631,1.07,0.96,-4.86,Declining,Declining
