skill,year,trend_score,job_postings_count,type,skill_tier
A/B Testing,2019,7.95,778,historical,📈 Rising
A/B Testing,2020,7.72,853,historical,📈 Rising
A/B Testing,2021,8.21,920,historical,📈 Rising
A/B Testing,2022,8.34,1015,historical,📈 Rising
A/B Testing,2023,8.25,964,historical,📈 Rising
A/B Testing,2024,8.02,1171,historical,📈 Rising
A/B Testing,2025,8.08,1198,historical,📈 Rising
A/B Testing,2026,8.24,1267,projected,📈 Rising
A/B Testing,2027,8.27,1336,projected,📈 Rising
A/B Testing,2028,8.31,1405,projected,📈 Rising
Airflow,2019,8.32,796,historical,📈 Rising
Airflow,2020,8.3,907,historical,📈 Rising
Airflow,2021,8.17,965,historical,📈 Rising
Airflow,2022,8.57,1115,historical,📈 Rising
Airflow,2023,8.61,1093,historical,📈 Rising
Airflow,2024,8.7,1181,historical,📈 Rising
Airflow,2025,8.44,1185,historical,📈 Rising
Airflow,2026,8.67,1250,projected,📈 Rising
Airflow,2027,8.72,1316,projected,📈 Rising
Airflow,2028,8.78,1382,projected,📈 Rising
Basic SEO,2019,3.14,403,historical,📉 Declining
Basic SEO,2020,2.86,193,historical,📉 Declining
Basic SEO,2021,2.87,311,historical,📉 Declining
Basic SEO,2022,2.58,310,historical,📉 Declining
Basic SEO,2023,2.66,414,historical,📉 Declining
Basic SEO,2024,2.03,339,historical,📉 Declining
Basic SEO,2025,2.84,423,historical,📉 Declining
Basic SEO,2026,2.31,439,projected,📉 Declining
Basic SEO,2027,2.21,455,projected,📉 Declining
Basic SEO,2028,2.11,471,projected,📉 Declining
COBOL,2019,1.48,96,historical,💀 Obsolete
COBOL,2020,1.04,149,historical,💀 Obsolete
COBOL,2021,0.96,99,historical,💀 Obsolete
COBOL,2022,1.36,91,historical,💀 Obsolete
COBOL,2023,0.5,10,historical,💀 Obsolete
COBOL,2024,1.09,208,historical,💀 Obsolete
COBOL,2025,0.77,148,historical,💀 Obsolete
COBOL,2026,0.67,154,projected,💀 Obsolete
COBOL,2027,0.58,161,projected,💀 Obsolete
COBOL,2028,0.5,167,projected,💀 Obsolete
Cloud (AWS/GCP),2019,9.22,904,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2020,9.11,963,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2021,8.92,1111,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2022,8.93,1064,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2023,9.7,1331,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2024,9.58,1383,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2025,9.26,1445,historical,🚀 Skyrocketing
Cloud (AWS/GCP),2026,9.5,1540,projected,🚀 Skyrocketing
Cloud (AWS/GCP),2027,9.57,1636,projected,🚀 Skyrocketing
Cloud (AWS/GCP),2028,9.63,1732,projected,🚀 Skyrocketing
Cold Calling,2019,2.07,184,historical,💀 Obsolete
Cold Calling,2020,1.82,194,historical,💀 Obsolete
Cold Calling,2021,1.85,208,historical,💀 Obsolete
Cold Calling,2022,1.84,219,historical,💀 Obsolete
Cold Calling,2023,1.76,236,historical,💀 Obsolete
Cold Calling,2024,1.01,205,historical,💀 Obsolete
Cold Calling,2025,1.07,122,historical,💀 Obsolete
Cold Calling,2026,0.97,117,projected,💀 Obsolete
Cold Calling,2027,0.8,112,projected,💀 Obsolete
Cold Calling,2028,0.63,107,projected,💀 Obsolete
Copy-Paste Reporting,2019,1.09,112,historical,💀 Obsolete
Copy-Paste Reporting,2020,1.09,45,historical,💀 Obsolete
Copy-Paste Reporting,2021,0.62,65,historical,💀 Obsolete
Copy-Paste Reporting,2022,0.52,127,historical,💀 Obsolete
Copy-Paste Reporting,2023,0.67,17,historical,💀 Obsolete
Copy-Paste Reporting,2024,0.5,107,historical,💀 Obsolete
Copy-Paste Reporting,2025,0.5,73,historical,💀 Obsolete
Copy-Paste Reporting,2026,0.5,71,projected,💀 Obsolete
Copy-Paste Reporting,2027,0.5,70,projected,💀 Obsolete
Copy-Paste Reporting,2028,0.5,68,projected,💀 Obsolete
Crystal Reports,2019,1.79,180,historical,📉 Declining
Crystal Reports,2020,1.64,237,historical,📉 Declining
Crystal Reports,2021,1.64,220,historical,📉 Declining
Crystal Reports,2022,1.47,218,historical,📉 Declining
Crystal Reports,2023,1.98,234,historical,📉 Declining
Crystal Reports,2024,1.58,215,historical,📉 Declining
Crystal Reports,2025,1.92,283,historical,📉 Declining
Crystal Reports,2026,1.81,292,projected,📉 Declining
Crystal Reports,2027,1.83,302,projected,📉 Declining
Crystal Reports,2028,1.86,312,projected,📉 Declining
Data Entry,2019,1.51,160,historical,📉 Declining
Data Entry,2020,1.47,209,historical,📉 Declining
Data Entry,2021,1.28,117,historical,📉 Declining
Data Entry,2022,1.21,184,historical,📉 Declining
Data Entry,2023,0.96,110,historical,📉 Declining
Data Entry,2024,1.28,252,historical,📉 Declining
Data Entry,2025,1.2,199,historical,📉 Declining
Data Entry,2026,1.05,206,projected,📉 Declining
Data Entry,2027,0.99,213,projected,📉 Declining
Data Entry,2028,0.93,220,projected,📉 Declining
Deep Learning,2019,8.9,860,historical,🚀 Skyrocketing
Deep Learning,2020,8.92,942,historical,🚀 Skyrocketing
Deep Learning,2021,9.24,1027,historical,🚀 Skyrocketing
Deep Learning,2022,9.29,1155,historical,🚀 Skyrocketing
Deep Learning,2023,9.77,1204,historical,🚀 Skyrocketing
Deep Learning,2024,9.59,1383,historical,🚀 Skyrocketing
Deep Learning,2025,9.27,1432,historical,🚀 Skyrocketing
Deep Learning,2026,9.71,1531,projected,🚀 Skyrocketing
Deep Learning,2027,9.82,1630,projected,🚀 Skyrocketing
Deep Learning,2028,9.92,1729,projected,🚀 Skyrocketing
Excel (Basic),2019,3.76,391,historical,💀 Obsolete
Excel (Basic),2020,3.45,262,historical,💀 Obsolete
Excel (Basic),2021,3.6,350,historical,💀 Obsolete
Excel (Basic),2022,2.99,354,historical,💀 Obsolete
Excel (Basic),2023,2.88,418,historical,💀 Obsolete
Excel (Basic),2024,3.11,450,historical,💀 Obsolete
Excel (Basic),2025,2.61,393,historical,💀 Obsolete
Excel (Basic),2026,2.52,409,projected,💀 Obsolete
Excel (Basic),2027,2.34,425,projected,💀 Obsolete
Excel (Basic),2028,2.17,441,projected,💀 Obsolete
Kubernetes,2019,8.15,771,historical,🚀 Skyrocketing
Kubernetes,2020,8.05,817,historical,🚀 Skyrocketing
Kubernetes,2021,8.42,934,historical,🚀 Skyrocketing
Kubernetes,2022,8.06,982,historical,🚀 Skyrocketing
Kubernetes,2023,8.39,1114,historical,🚀 Skyrocketing
Kubernetes,2024,8.49,1199,historical,🚀 Skyrocketing
Kubernetes,2025,9.06,1301,historical,🚀 Skyrocketing
Kubernetes,2026,8.89,1391,projected,🚀 Skyrocketing
Kubernetes,2027,9.02,1482,projected,🚀 Skyrocketing
