skill,year,trend_score,job_postings_count,category,postings_yoy_pct,trend_score_3yr_avg,trend_velocity,velocity_label,postings_normalized
A/B Testing,2019,7.95,778,Rising,,7.95,0.0368,Stable,74.13
A/B Testing,2020,7.72,853,Rising,0.0964,7.835,0.0368,Stable,77.47
A/B Testing,2021,8.21,920,Rising,0.0785,7.96,0.0368,Stable,77.66
A/B Testing,2022,8.34,1015,Rising,0.1033,8.09,0.0368,Stable,80.56
A/B Testing,2023,8.25,964,Rising,-0.0502,8.267,0.0368,Stable,69.38
A/B Testing,2024,8.02,1171,Rising,0.2147,8.203,0.0368,Stable,81.28
A/B Testing,2025,8.08,1198,Rising,0.0231,8.117,0.0368,Stable,77.91
Airflow,2019,8.32,796,Rising,,8.32,0.0571,Rising,76.09
Airflow,2020,8.3,907,Rising,0.1394,8.31,0.0571,Rising,82.65
Airflow,2021,8.17,965,Rising,0.0639,8.263,0.0571,Rising,81.74
Airflow,2022,8.57,1115,Rising,0.1554,8.347,0.0571,Rising,89.28
Airflow,2023,8.61,1093,Rising,-0.0197,8.45,0.0571,Rising,78.76
Airflow,2024,8.7,1181,Rising,0.0805,8.627,0.0571,Rising,82.05
Airflow,2025,8.44,1185,Rising,0.0034,8.583,0.0571,Rising,77.01
Basic SEO,2019,3.14,403,Declining,,3.14,-0.0989,Declining,33.37
Basic SEO,2020,2.86,193,Declining,-0.5211,3.0,-0.0989,Declining,14.19
Basic SEO,2021,2.87,311,Declining,0.6114,2.957,-0.0989,Declining,22.34
Basic SEO,2022,2.58,310,Declining,-0.0032,2.77,-0.0989,Declining,19.09
Basic SEO,2023,2.66,414,Declining,0.3355,2.703,-0.0989,Declining,29.38
Basic SEO,2024,2.03,339,Declining,-0.1812,2.423,-0.0989,Declining,17.72
Basic SEO,2025,2.84,423,Declining,0.2478,2.51,-0.0989,Declining,24.24
COBOL,2019,1.48,96,Declining,,1.48,-0.0889,Declining,0.0
COBOL,2020,1.04,149,Declining,0.5521,1.26,-0.0889,Declining,9.97
COBOL,2021,0.96,99,Declining,-0.3356,1.16,-0.0889,Declining,3.09
COBOL,2022,1.36,91,Declining,-0.0808,1.12,-0.0889,Declining,0.0
COBOL,2023,0.5,10,Declining,-0.8901,0.94,-0.0889,Declining,0.0
COBOL,2024,1.09,208,Declining,19.8,0.983,-0.0889,Declining,7.72
COBOL,2025,0.77,148,Declining,-0.2885,0.787,-0.0889,Declining,5.19
Cloud (AWS/GCP),2019,9.22,904,Rising,,9.22,0.0657,Rising,87.83
Cloud (AWS/GCP),2020,9.11,963,Rising,0.0653,9.165,0.0657,Rising,88.02
Cloud (AWS/GCP),2021,8.92,1111,Rising,0.1537,9.083,0.0657,Rising,95.0
Cloud (AWS/GCP),2022,8.93,1064,Rising,-0.0423,8.987,0.0657,Rising,84.83
Cloud (AWS/GCP),2023,9.7,1331,Rising,0.2509,9.183,0.0657,Rising,96.07
Cloud (AWS/GCP),2024,9.58,1383,Rising,0.0391,9.403,0.0657,Rising,97.48
Cloud (AWS/GCP),2025,9.26,1445,Rising,0.0448,9.513,0.0657,Rising,95.01
Cold Calling,2019,2.07,184,Declining,,2.07,-0.1682,Declining,9.57
Cold Calling,2020,1.82,194,Declining,0.0543,1.945,-0.1682,Declining,14.29
Cold Calling,2021,1.85,208,Declining,0.0722,1.913,-0.1682,Declining,12.99
Cold Calling,2022,1.84,219,Declining,0.0529,1.837,-0.1682,Declining,11.16
Cold Calling,2023,1.76,236,Declining,0.0776,1.817,-0.1682,Declining,16.44
Cold Calling,2024,1.01,205,Declining,-0.1314,1.537,-0.1682,Declining,7.49
Cold Calling,2025,1.07,122,Declining,-0.4049,1.28,-0.1682,Declining,3.39
Copy-Paste Reporting,2019,1.09,112,Declining,,1.09,-0.1036,Declining,1.74
Copy-Paste Reporting,2020,1.09,45,Declining,-0.5982,1.09,-0.1036,Declining,0.0
Copy-Paste Reporting,2021,0.62,65,Declining,0.4444,0.933,-0.1036,Declining,0.0
Copy-Paste Reporting,2022,0.52,127,Declining,0.9538,0.743,-0.1036,Declining,3.14
Copy-Paste Reporting,2023,0.67,17,Declining,-0.8661,0.603,-0.1036,Declining,0.51
Copy-Paste Reporting,2024,0.5,107,Declining,5.2941,0.563,-0.1036,Declining,0.0
Copy-Paste Reporting,2025,0.5,73,Declining,-0.3178,0.557,-0.1036,Declining,0.0
Crystal Reports,2019,1.79,180,Declining,,1.79,0.0218,Stable,9.13
Crystal Reports,2020,1.64,237,Declining,0.3167,1.715,0.0218,Stable,18.41
Crystal Reports,2021,1.64,220,Declining,-0.0717,1.69,0.0218,Stable,14.08
Crystal Reports,2022,1.47,218,Declining,-0.0091,1.583,0.0218,Stable,11.07
Crystal Reports,2023,1.98,234,Declining,0.0734,1.697,0.0218,Stable,16.29
Crystal Reports,2024,1.58,215,Declining,-0.0812,1.677,0.0218,Stable,8.25
Crystal Reports,2025,1.92,283,Declining,0.3163,1.827,0.0218,Stable,14.54
Data Entry,2019,1.51,160,Declining,,1.51,-0.0582,Declining,6.96
Data Entry,2020,1.47,209,Declining,0.3062,1.49,-0.0582,Declining,15.72
Data Entry,2021,1.28,117,Declining,-0.4402,1.42,-0.0582,Declining,4.72
Data Entry,2022,1.21,184,Declining,0.5726,1.32,-0.0582,Declining,8.11
Data Entry,2023,0.96,110,Declining,-0.4022,1.15,-0.0582,Declining,7.27
Data Entry,2024,1.28,252,Declining,1.2909,1.15,-0.0582,Declining,11.08
Data Entry,2025,1.2,199,Declining,-0.2103,1.147,-0.0582,Declining,8.73
Deep Learning,2019,8.9,860,Rising,,8.9,0.1064,Rising,83.04
Deep Learning,2020,8.92,942,Rising,0.0953,8.91,0.1064,Rising,86.0
Deep Learning,2021,9.24,1027,Rising,0.0902,9.02,0.1064,Rising,87.38
Deep Learning,2022,9.29,1155,Rising,0.1246,9.15,0.1064,Rising,92.76
Deep Learning,2023,9.77,1204,Rising,0.0424,9.433,0.1064,Rising,86.84
Deep Learning,2024,9.59,1383,Rising,0.1487,9.55,0.1064,Rising,97.48
Deep Learning,2025,9.27,1432,Rising,0.0354,9.543,0.1064,Rising,94.11
Excel (Basic),2019,3.76,391,Declining,,3.76,-0.1732,Declining,32.07
Excel (Basic),2020,3.45,262,Declining,-0.3299,3.605,-0.1732,Declining,20.81
Excel (Basic),2021,3.6,350,Declining,0.3359,3.603,-0.1732,Declining,25.89
Excel (Basic),2022,2.99,354,Declining,0.0114,3.347,-0.1732,Declining,22.93
Excel (Basic),2023,2.88,418,Declining,0.1808,3.157,-0.1732,Declining,29.67
Excel (Basic),2024,3.11,450,Declining,0.0766,2.993,-0.1732,Declining,26.2
Excel (Basic),2025,2.61,393,Declining,-0.1267,2.867,-0.1732,Declining,22.16
Kubernetes,2019,8.15,771,Rising,,8.15,0.1279,Rising,73.37
Kubernetes,2020,8.05,817,Rising,0.0597,8.1,0.1279,Rising,74.02
Kubernetes,2021,8.42,934,Rising,0.1432,8.207,0.1279,Rising,78.93
Kubernetes,2022,8.06,982,Rising,0.0514,8.177,0.1279,Rising,77.68
Kubernetes,2023,8.39,1114,Rising,0.1344,8.29,0.1279,Rising,80.29
Kubernetes,2024,8.49,1199,Rising,0.0763,8.313,0.1279,Rising,83.42
Kubernetes,2025,9.06,1301,Rising,0.0851,8.647,0.1279,Rising,85.04
LLMs/GenAI,2019,9.86,910,Rising,,9.86,0.0239,Stable,88.48
LLMs/GenAI,2020,9.87,1088,Rising,0.1956,9.865,0.0239,Stable,100.0
LLMs/GenAI,2021,10.0,1121,Rising,0.0303,9.91,0.0239,Stable,95.91
LLMs/GenAI,2022,10.0,1195,Rising,0.066,9.957,0.0239,Stable,96.25
LLMs/GenAI,2023,9.99,1385,Rising,0.159,9.997,0.0239,Stable,100.0
