skill,composite_trend_score,trend_slope,trend_score_2025,trend_score_2026_proj,skill_tier
Cold Calling,4.22,-0.16821,1.07,0.96,💀 Obsolete
Copy-Paste Reporting,11.06,-0.10357,0.5,0.5,💀 Obsolete
Excel (Basic),13.44,-0.17321,2.61,2.51,💀 Obsolete
COBOL,16.0,-0.08893,0.77,0.67,💀 Obsolete
Legacy VBA,19.95,-0.08714,1.46,1.29,💀 Obsolete
MS Access,21.52,-0.06857,1.42,1.72,📉 Declining
Data Entry,21.59,-0.05821,1.2,1.04,📉 Declining
Basic SEO,22.73,-0.09893,2.84,2.32,📉 Declining
Manual Testing,23.72,-0.07214,2.03,2.29,📉 Declining
Crystal Reports,35.8,0.02179,1.92,1.8,📉 Declining
