job_role,year,avg_salary_usd,growth_rate,base_automation_risk
Data Analyst,2019,67229,0.0572,0.35
Data Analyst,2020,73872,0.0537,0.35
Data Analyst,2021,77003,0.0522,0.35
Data Analyst,2022,89565,0.0657,0.35
Data Analyst,2023,88979,0.0533,0.35
Data Analyst,2024,93161,0.0615,0.35
Data Analyst,2025,84878,0.0224,0.35
Business Analyst,2019,70698,0.0691,0.3
Business Analyst,2020,78569,0.0344,0.3
Business Analyst,2021,80857,0.0539,0.3
Business Analyst,2022,81051,0.0308,0.3
Business Analyst,2023,87644,0.0352,0.3
Business Analyst,2024,100083,0.0561,0.3
Business Analyst,2025,93649,0.0302,0.3
Data Scientist,2019,109753,0.0771,0.15
Data Scientist,2020,119451,0.0776,0.15
Data Scientist,2021,127673,0.0829,0.15
Data Scientist,2022,149645,0.1067,0.15
Data Scientist,2023,154919,0.0871,0.15
Data Scientist,2024,167401,0.088,0.15
Data Scientist,2025,164947,0.0756,0.15
Machine Learning Engineer,2019,135994,0.1092,0.1
Machine Learning Engineer,2020,150538,0.107,0.1
Machine Learning Engineer,2021,162120,0.1027,0.1
Machine Learning Engineer,2022,183284,0.115,0.1
Machine Learning Engineer,2023,210226,0.1112,0.1
Machine Learning Engineer,2024,193257,0.0727,0.1
Machine Learning Engineer,2025,204188,0.072,0.1
Data Engineer,2019,116588,0.0992,0.18
Data Engineer,2020,126028,0.0708,0.18
Data Engineer,2021,150237,0.1043,0.18
Data Engineer,2022,171058,0.1245,0.18
Data Engineer,2023,158259,0.0744,0.18
Data Engineer,2024,191608,0.0964,0.18
Data Engineer,2025,230255,0.1167,0.18
BI Developer,2019,89502,0.0648,0.38
BI Developer,2020,94991,0.0698,0.38
BI Developer,2021,91430,0.045,0.38
BI Developer,2022,97844,0.0547,0.38
BI Developer,2023,86433,0.0263,0.38
BI Developer,2024,111733,0.0645,0.38
BI Developer,2025,98003,0.0309,0.38
SQL Developer,2019,78405,0.0297,0.42
SQL Developer,2020,81889,0.0624,0.42
SQL Developer,2021,79574,0.0353,0.42
SQL Developer,2022,90732,0.0549,0.42
SQL Developer,2023,103501,0.0693,0.42
SQL Developer,2024,107497,0.0631,0.42
SQL Developer,2025,82672,0.021,0.42
Excel Analyst,2019,57615,0.0038,0.68
Excel Analyst,2020,54742,0.0154,0.68
Excel Analyst,2021,59578,-0.0098,0.68
Excel Analyst,2022,60428,0.0004,0.68
Excel Analyst,2023,56426,0.0048,0.68
Excel Analyst,2024,55526,-0.0006,0.68
Excel Analyst,2025,57222,0.0017,0.68
Statistician,2019,83241,0.0343,0.22
Statistician,2020,94875,0.043,0.22
Statistician,2021,95170,0.0327,0.22
Statistician,2022,106830,0.0491,0.22
Statistician,2023,106679,0.0514,0.22
Statistician,2024,114699,0.0531,0.22
Statistician,2025,115150,0.0486,0.22
AI Engineer,2019,141987,0.0831,0.08
AI Engineer,2020,154484,0.0899,0.08
AI Engineer,2021,169282,0.0709,0.08
AI Engineer,2022,193161,0.1043,0.08
AI Engineer,2023,231431,0.1235,0.08
AI Engineer,2024,204886,0.0728,0.08
AI Engineer,2025,264820,0.1082,0.08
Cloud Architect,2019,139495,0.068,0.12
Cloud Architect,2020,148487,0.0478,0.12
Cloud Architect,2021,148004,0.0407,0.12
Cloud Architect,2022,156599,0.0327,0.12
Cloud Architect,2023,149406,0.0207,0.12
Cloud Architect,2024,189751,0.0643,0.12
Cloud Architect,2025,164741,0.0258,0.12
DevOps Engineer,2019,113009,0.0392,0.2
DevOps Engineer,2020,119966,0.0422,0.2
DevOps Engineer,2021,128203,0.0597,0.2
DevOps Engineer,2022,133824,0.0508,0.2
DevOps Engineer,2023,117496,0.0203,0.2
